CountryName,Region,IndicatorName.1,IndicatorName.2,IndicatorName.3,IndicatorName.4,income,gdp,life_expectancy,population
Afghanistan,South Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",477.3070093,15856574731,61.226,29185507
Albania,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",3530.690656,11926953214,76.652,2913021
Algeria,Middle East & North Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",3407.251171,1.61207E+11,74.676,35977455
Angola,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",1108.338717,83799496611,58.192,23356246
Antigua and Barbuda,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,1152469074,75.412,88028
Argentina,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",8810.359213,4.23627E+11,75.595,40788453
Armenia,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",2918.101653,9260284938,73.331,2877319
Aruba,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",19741.1498,2390502793,75.016,101669
Australia,East Asia & Pacific,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",39980.77299,1.14614E+12,81.69512195,22031750
Austria,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",38977.20713,3.91893E+11,80.5804878,8363404
Azerbaijan,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",3868.82852,52902703376,70.987,9054332
"Bahamas, The",Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",25824.37798,10095760000,74.761,354942
Bahrain,Middle East & North Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",16640.90299,25713271277,76.056,1240860
Bangladesh,South Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",771.8537819,1.15279E+11,70.198,147575430
Barbados,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",13912.73657,4529900000,74.973,282131
Belarus,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",5505.328487,58665088956,70.40487805,9490583
Belgium,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",37246.55427,4.83548E+11,80.18292683,10895586
Belize,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",3022.698452,1396731700,69.676,322464
Benin,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",637.332426,6970240895,59.319,9199259
Bermuda,North America,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,5744414000,79.28853659,65124
Bhutan,South Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",1930.880875,1585472534,67.79,685503
Bolivia,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",1545.671016,19649631451,66.408,10048590
Bosnia and Herzegovina,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",4124.585692,17176781337,75.905,3705472
Botswana,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",4648.767598,12786654366,59.868,1987105
Brazil,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",9337.194188,2.20887E+12,73.838,195713635
Brunei Darussalam,East Asia & Pacific,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",25507.665,13707370737,76.719,388646
Bulgaria,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",5580.342227,50610058210,73.51219512,7395599
Burkina Faso,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",454.6328971,8979966766,57.096,15605217
Burundi,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",149.0493988,2032135247,54.861,8675602
